Title,Company,Location,Category,Created,Description,URL
Software Engineering Intern - Summer 2025,ThayerMahan,"Groton, New London County",IT Jobs,2025-03-24T13:29:45Z,"Job Description Job Description Salary: $20-25/hour Join our dynamic and innovative team at ThayerMahan, a world leader in autonomous maritime naval surveillance and maritime monitoring. Headquartered in Groton, CT, we are a fast-growing, mission-focused, cutting-edge technology company in the Intelligence, Surveillance, and Reconnaissance (ISR) and Artificial Intelligence (AI) space. ThayerMahan designs, builds, deploys, and operates autonomous sensing systems. In the defense market, our techn…",https://www.adzuna.com/land/ad/5108975429?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=BB2EAED0F5CFB02C9B5C12A3BAE98BDE41EC39F2
Software Development (Machine Learning) Intern,10046 Sound Inpatient Phys Inc ,"Memphis, Shelby County",Scientific & QA Jobs,2025-04-02T14:01:59Z,"Job Description Job Description ABOUT SOUND Headquartered in Tacoma, WA, Sound Physicians is a physician-founded and led, national, multi-specialty medical group made up of more than 1,000 business colleagues and 4,000 physicians, APPs, CRNAs, and nurses practicing in 400-plus hospitals across 45 states. Founded in 2001, and with specialties in emergency and hospital medicine, critical care, anesthesia, and telemedicine, Sound has a reputation for innovating and leading through an ever-changing…",https://www.adzuna.com/land/ad/5124662883?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=90BA2095707F2D2DB1A8DD4D742625DBF6C95D54
Manufacturing and Product Engineering Intern,"U.S. Tsubaki Power Transmission, LLC","Halyoke, Hampden County",Engineering Jobs,2025-04-01T11:53:51Z,"Description: The TSUBAKI name is synonymous with excellence in quality, dependability and customer service. U.S. Tsubaki is a leading manufacturer and supplier of power transmission and motion control products. As a part of a vast, international network of corporate and industrial resources, Tsubaki offers its customers the finest state-of-the-art products available in the world and we strive to be the “Best Value” supplier in the industry. The Manufacturing and Product Engineering Intern will …",https://www.adzuna.com/land/ad/5121727874?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=EEFA33C1CD5F3F3414DB568D57F25032A348A91F
Engineering Intern,Miter Brands,"Gratz, Dauphin County",Engineering Jobs,2025-03-28T12:10:49Z,"Summary MITER Brands™ is a residential window and door manufacturer that provides a leading portfolio of window and door brands for the new construction and replacement segments. MITER Brands, also known as Milgard, MI Windows & Doors and PGTI is one of the nation’s largest suppliers of vinyl windows and patio doors, with plants across the country. We are looking for Engineering Interns for our Gratz, Pennsylvania Ops Support Center. In this role you will assist and support current Engineering …",https://www.adzuna.com/land/ad/5116080999?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=7008E4EFD9FCB7BC049E26ED1E1DDB4E7753AD36
Engineering Intern,Saint-Gobain,"Kansas City, Wyandotte County",Engineering Jobs,2025-03-22T14:07:45Z,"WHY DO WE NEED YOU ? Why work for us? At Saint-Gobain, our employees have pride in belonging to an organization whose culture is made up of these core values: Trust, Empowerment, & Collaboration. Our company encourages diversity and inclusion in all its forms while our products make the world a more beautiful, safer, and sustainable home . What’s the job? At Saint-Gobain Aerospace, we mobilize our engineering, process and market expertise to deliver innovative products and solutions that enhanc…",https://www.adzuna.com/land/ad/5106798852?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=8EC40F671D5235C414E4811FADFF7C30761FBD17
Engineering Intern,Saint-Gobain,"Russellville, Franklin County",Engineering Jobs,2025-03-11T19:32:23Z,"WHY DO WE NEED YOU ? Why work for us? At Saint-Gobain, our employees have pride in belonging to an organization whose culture is made up of these core values: Trust, Empowerment, & Collaboration. Our company encourages diversity and inclusion in all its forms while our products make the world a more beautiful, safer, and sustainable home . What’s the job? At Saint-Gobain Aerospace, we mobilize our engineering, process and market expertise to deliver innovative products and solutions that enhanc…",https://www.adzuna.com/land/ad/5087918717?se=nF8fnhsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=A1B0922C06E8B31F36ED897CBFD472629376D37A
Retail Network Development and Project Planning Intern,Polestar,"Mahwah, Bergen County",IT Jobs,2025-04-02T01:46:45Z,"Job Description Job Description At Polestar, we don't just drive innovation in our cars – our entire business model is different from our competitors. We’re looking for enthusiastic individuals to join our Network Development team for our Summer Internship program. This internship will be located in our Mahwah, NJ headquarters where we embrace a hybrid work schedule of 3 days in office per week (Tues, Wed, Thur). Let us describe the challenge we offer You will be an integral part of our network…",https://www.adzuna.com/land/ad/5123521921?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=494AB0FBA2295AB3AF2675308FA08F6DEFCA6F80
Engineering Intern,"US Tsubaki Automotive, LLC","Portland, Sumner County",Engineering Jobs,2025-04-04T01:31:26Z,"Description: The TSUBAKI name is synonymous with excellence in quality, dependability and customer service. U.S. Tsubaki Automotive, LLC is an international tier-one supplier of high-speed chain drive systems to the automotive industry. Essential Duties and Responsibilities : The essential duties and responsibilities of this job are included but not limited to this job description - other tasks may be assigned and expected to be performed. Excellent interpersonal, written, and speaking skills r…",https://www.adzuna.com/land/ad/5128612193?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=D8B32EBAC32F185CC6FAEA0D88F6B24A5F9B857E
Software Intern,"Canon U.S.A., Inc.","Newport Beach, Orange County",IT Jobs,2025-04-04T01:31:32Z,"Software Intern US-CA-Irvine Job ID: 32876 Type: Full-Time  of Openings: 1 Category: Intern/Trainee CA - Irvine-MS About the Role 2025 Canon Insights Summer Internship Canon, U. S. A., Inc. is currently hiring for our 2025 Canon Insights Internship Program. The program will be held between June - August with some flexibility on specific dates. Canon is an innovative global digital imaging leader that uses technology to dissolve the barriers we face in the connections we build, the experiences w…",https://www.adzuna.com/land/ad/5128612734?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=4490F9C0125D777D4F702BFC9BC0BB826179D24C
Engineering Intern,The Gund Company Inc,"Overland, Saint Louis County",IT Jobs,2025-04-04T01:31:30Z,"Overview Join The Gund Company, where you will find friends who will support and challenge you to crush goals that provide amazing growth opportunities. We are in the business of electrical insulation manufacturing, but we really pride ourselves in just being a group of fun, driven, problem solvers who LOVE what we do The Gund Company: Take Care of Each Other, Take Care of the Customer and Take Care of the Business Job Summary As an intern, you are considered an integral part of The Gund Compan…",https://www.adzuna.com/land/ad/5128612549?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=1B7495E1F7EAB6A26A1712233021429F294B6955
Product Management Intern,"Ametek, Inc.","Mount Prospect, Cook County",IT Jobs,2025-03-26T23:26:41Z,"Ametek, Inc. Job description: Come Work With Us Are you passionate about creating innovative products that make a difference? Rauland is leader in the education and healthcare markets  providing criticial communictions systems in schools and hospitals around the world. As a Product Management Intern at Rauland, you'll work alongside industry experts, gain hands-on experience, and contribute to real projects from day one. If you're a creative problem-solver with a knack for understanding custome…",https://www.adzuna.com/land/ad/5112940234?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=8F25EB12AB727A311241B6D5B143F7F252B3D4EB
Engineer Intern - Office,Manson Construction Co.,"Atlantic Beach, Duval County",Engineering Jobs,2025-03-27T11:32:30Z,"SUMMARY This is an intern level position and a part of our Estimating, Production, & Project Management Team for our Jacksonville, FL office and project sites. Engineering Interns provide data entry of Freedom of Information Act (FOIA) data, geotechnical analysis, hydrographic / land surveys, and help maintain a safe working environment. No travel is required and all work is performed at Jacksonville area offices or project sites. Engineering and/or Construction Management experience preferred …",https://www.adzuna.com/land/ad/5113758507?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=EB92A391A982D6DCFD387F24531C082880C5C0B9
Embedded Engineer Intern,"Ametek, Inc.","Mount Prospect, Cook County",Engineering Jobs,2025-03-26T23:26:31Z,"Ametek, Inc. Job description: Come Work With Us Are you ready to dive into the world of cutting-edge technology? Rauland is a leader in the education and healthcare markets  providing critical communication products and services in schools and hospitals around the world. As an Embedded Engineer Intern, you'll collaborate with top engineers, tackle challenging projects, and develop software that powers innovative devices. If you are a tech enthusiast with a passion for coding and problem-solving…",https://www.adzuna.com/land/ad/5112940031?se=CmVjoBsR8BGcNnilB7aCew&utm_medium=api&utm_source=17ef27d3&v=7BB45084F54D9F7A54F942268B3617B8EF82744A
Civil Engineering Intern,"Valmont Industries, Inc.","Valley County, Nebraska",Engineering Jobs,2025-04-01T01:37:16Z,"600 W Reichmuth Rd Valley Nebraska 68064-0358 Why Valmont We’re Here to Move the World Forward. Valmont impacts millions of people around the world every day, yet they might not realize the many ways. Our technology is helping feed the growing population, supplying the world with more reliable energy and access to renewables, enhancing connectivity in remote and urban locations to create a sustainable future and so much more. Simply put, Valmont is advancing agricultural productivity and reimag…",https://www.adzuna.com/land/ad/5120830269?se=NDt2oRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=58A48F2602DB44BF3D5D0F57EB8A93DDE43C7900
Mechanical Engineering Intern,Ellsworth Corporation,"Sparks, Washoe County",Engineering Jobs,2025-02-25T09:25:42Z,"Are you a current college student who is looking to gain hands-on industry experience? If so, check out our paid internship program Why Ellsworth Corporation What does a cell phone in your pocket, a spaceship, and an electric vehicle have in common? Ellsworth Dispensing Solutions creates equipment to dispense materials on each of those products Ellsworth Corporation, a global, industry leading distributor of specialty chemicals and equipment and adhesive manufacturer currently has a Mechanical …",https://www.adzuna.com/land/ad/5063075067?se=JB2johsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=EC51DE05FAB2615542472DA1F1804963063A9F58
Electrical Engineering Intern,Ellsworth Corporation,"Sparks, Washoe County",Engineering Jobs,2025-02-25T09:23:18Z,"Are you a current college student who is looking to gain hands-on industry experience? If so, check out our paid internship program Why Ellsworth Corporation What does a cell phone in your pocket, a spaceship, and an electric vehicle have in common? Ellsworth Dispensing Solutions creates equipment to dispense materials on each of those products Ellsworth Corporation, a global, industry leading distributor of specialty chemicals and equipment and adhesive manufacturer currently has a Electrical …",https://www.adzuna.com/land/ad/5063074751?se=JB2johsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=B3D9E06C900E31102FCF7C67E2FC614F30510B1D
Cloud Engineering Intern,Maximus,"Mobile, Mobile County",IT Jobs,2025-02-27T18:08:39Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167216?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=9D23B7DE3080DE0EF1624DFB64C98F39A0DF04D7
Cloud Engineering Intern,Maximus,"Vancouver, Clark County",IT Jobs,2025-02-27T18:08:37Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167125?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=9A132242CA108F66108AFD9165EE18389FC640E3
Cloud Engineering Intern,Maximus,"Dallas, Texas",IT Jobs,2025-02-27T18:08:41Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167289?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=4B4C3D5C88E0961E2F5B2B10BFC6085C2F925E93
Cloud Engineering Intern,Maximus,"Glendale, Maricopa County",IT Jobs,2025-02-27T18:12:10Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066170180?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=34E1A05CC746586F165034C8535E2E212CA2EBE5
Cloud Engineering Intern,Maximus,"Davenport, Scott County",IT Jobs,2025-02-28T06:14:04Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066767620?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=230151E5B712571AF57787F19B87314DFF482428
Cloud Engineering Intern,Maximus,"Syracuse, Onondaga County",IT Jobs,2025-02-27T18:08:38Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167164?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=3DCB6BF985FAAB3C5D5BBFF029D37CA63820B6DD
Cloud Engineering Intern,Maximus,"Laredo, Webb County",IT Jobs,2025-02-27T18:08:36Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167071?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=1C2F5D807BFA3E4A546F51BAA1AEB174943DEB9A
Cloud Engineering Intern,Maximus,"Meridian, Ada County",IT Jobs,2025-02-27T18:12:11Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066170311?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=B9E3AFB82B2AADE6946EF55BF2991B2970CBC761
Cloud Engineering Intern,Maximus,"Providence, Providence County",IT Jobs,2025-02-27T18:14:58Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066175036?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=FC288C27A481B7F5928E7882E01CD0392BB06E8A
Cloud Engineering Intern,Maximus,"Bellingham, Whatcom County",IT Jobs,2025-02-27T18:08:38Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167153?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=BE631C7C738DA6163F1EF0CBC0ED0203B6C512A2
Cloud Engineering Intern,Maximus,"Fort Collins, Larimer County",IT Jobs,2025-02-28T06:14:04Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066767619?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=884CCAAD25F2675DF8FEEF1813360FE70CF269A5
Cloud Engineering Intern,Maximus,"Hampton City, Virginia",IT Jobs,2025-02-27T18:08:33Z,"Description & Requirements The Cloud Engineering Intern is a hands-on position that requires the ability to work with established Cloud Engineers in a fast paced technological environment. The hired candidate will participate in planning, design, and the implementation of technical cloud solutions. The Intern will help combine software and systems to develop creative engineering solutions for streamlined operations. You will will join a dedicated team of professionals with a diverse set of expe…",https://www.adzuna.com/land/ad/5066167009?se=snwnqRsR8BGsyQr5bSZXLA&utm_medium=api&utm_source=17ef27d3&v=D1546F0337A6FB0AA4CD82CFC870FC8945D04C53
